node_id,demo,path,year,ws_future,sv_future,data_type,source_ref
SC05,1,BAU,2030,3.22,3.01,S,make_demo_data.py v2.0 deterministic demo
SC05,1,BAU,2050,3.39,3.11,S,make_demo_data.py v2.0 deterministic demo
SC05,1,BAU,2080,3.56,3.21,S,make_demo_data.py v2.0 deterministic demo
SC05,1,Pessimistic,2030,3.55,3.21,S,make_demo_data.py v2.0 deterministic demo
SC05,1,Pessimistic,2050,3.76,3.36,S,make_demo_data.py v2.0 deterministic demo
SC05,1,Pessimistic,2080,4.04,3.51,S,make_demo_data.py v2.0 deterministic demo
SC06,1,Optimistic,2030,3.93,2.27,S,make_demo_data.py v2.0 deterministic demo
SC06,1,Optimistic,2050,3.88,2.22,S,make_demo_data.py v2.0 deterministic demo
SC06,1,Optimistic,2080,3.83,2.17,S,make_demo_data.py v2.0 deterministic demo
SC06,1,BAU,2030,4.24,2.47,S,make_demo_data.py v2.0 deterministic demo
SC06,1,BAU,2050,4.41,2.57,S,make_demo_data.py v2.0 deterministic demo
SC06,1,BAU,2080,4.58,2.67,S,make_demo_data.py v2.0 deterministic demo
SC06,1,Pessimistic,2030,4.57,2.67,S,make_demo_data.py v2.0 deterministic demo
SC06,1,Pessimistic,2050,4.78,2.82,S,make_demo_data.py v2.0 deterministic demo
SC06,1,Pessimistic,2080,5.0,2.97,S,make_demo_data.py v2.0 deterministic demo
SB01,1,Optimistic,2030,4.08,1.94,S,make_demo_data.py v2.0 deterministic demo
SB01,1,Optimistic,2050,4.03,1.89,S,make_demo_data.py v2.0 deterministic demo
SB01,1,Optimistic,2080,3.98,1.84,S,make_demo_data.py v2.0 deterministic demo
SB01,1,BAU,2030,4.39,2.14,S,make_demo_data.py v2.0 deterministic demo
SB01,1,BAU,2050,4.56,2.24,S,make_demo_data.py v2.0 deterministic demo
SB01,1,BAU,2080,4.73,2.34,S,make_demo_data.py v2.0 deterministic demo
SB01,1,Pessimistic,2030,4.72,2.34,S,make_demo_data.py v2.0 deterministic demo
SB01,1,Pessimistic,2050,4.93,2.49,S,make_demo_data.py v2.0 deterministic demo
SB01,1,Pessimistic,2080,5.0,2.64,S,make_demo_data.py v2.0 deterministic demo
SB02,1,Optimistic,2030,3.72,2.36,S,make_demo_data.py v2.0 deterministic demo
SB02,1,Optimistic,2050,3.67,2.31,S,make_demo_data.py v2.0 deterministic demo
SB02,1,Optimistic,2080,3.62,2.26,S,make_demo_data.py v2.0 deterministic demo
SB02,1,BAU,2030,4.03,2.56,S,make_demo_data.py v2.0 deterministic demo
SB02,1,BAU,2050,4.2,2.66,S,make_demo_data.py v2.0 deterministic demo
SB02,1,BAU,2080,4.37,2.76,S,make_demo_data.py v2.0 deterministic demo
SB02,1,Pessimistic,2030,4.36,2.76,S,make_demo_data.py v2.0 deterministic demo
SB02,1,Pessimistic,2050,4.57,2.91,S,make_demo_data.py v2.0 deterministic demo
SB02,1,Pessimistic,2080,4.85,3.06,S,make_demo_data.py v2.0 deterministic demo
SB03,1,Optimistic,2030,2.37,2.63,S,make_demo_data.py v2.0 deterministic demo
SB03,1,Optimistic,2050,2.32,2.58,S,make_demo_data.py v2.0 deterministic demo
SB03,1,Optimistic,2080,2.27,2.53,S,make_demo_data.py v2.0 deterministic demo
SB03,1,BAU,2030,2.68,2.83,S,make_demo_data.py v2.0 deterministic demo
SB03,1,BAU,2050,2.85,2.93,S,make_demo_data.py v2.0 deterministic demo
SB03,1,BAU,2080,3.02,3.03,S,make_demo_data.py v2.0 deterministic demo
SB03,1,Pessimistic,2030,3.01,3.03,S,make_demo_data.py v2.0 deterministic demo
SB03,1,Pessimistic,2050,3.22,3.18,S,make_demo_data.py v2.0 deterministic demo
SB03,1,Pessimistic,2080,3.5,3.33,S,make_demo_data.py v2.0 deterministic demo
SB04,1,Optimistic,2030,3.21,2.48,S,make_demo_data.py v2.0 deterministic demo
SB04,1,Optimistic,2050,3.16,2.43,S,make_demo_data.py v2.0 deterministic demo
SB04,1,Optimistic,2080,3.11,2.38,S,make_demo_data.py v2.0 deterministic demo
SB04,1,BAU,2030,3.52,2.68,S,make_demo_data.py v2.0 deterministic demo
SB04,1,BAU,2050,3.69,2.78,S,make_demo_data.py v2.0 deterministic demo
SB04,1,BAU,2080,3.86,2.88,S,make_demo_data.py v2.0 deterministic demo
SB04,1,Pessimistic,2030,3.85,2.88,S,make_demo_data.py v2.0 deterministic demo
SB04,1,Pessimistic,2050,4.06,3.03,S,make_demo_data.py v2.0 deterministic demo
SB04,1,Pessimistic,2080,4.34,3.18,S,make_demo_data.py v2.0 deterministic demo
SB05,1,Optimistic,2030,3.86,2.05,S,make_demo_data.py v2.0 deterministic demo
SB05,1,Optimistic,2050,3.81,2.0,S,make_demo_data.py v2.0 deterministic demo
SB05,1,Optimistic,2080,3.76,1.95,S,make_demo_data.py v2.0 deterministic demo
SB05,1,BAU,2030,4.17,2.25,S,make_demo_data.py v2.0 deterministic demo
SB05,1,BAU,2050,4.34,2.35,S,make_demo_data.py v2.0 deterministic demo
SB05,1,BAU,2080,4.51,2.45,S,make_demo_data.py v2.0 deterministic demo
SB05,1,Pessimistic,2030,4.5,2.45,S,make_demo_data.py v2.0 deterministic demo
SB05,1,Pessimistic,2050,4.71,2.6,S,make_demo_data.py v2.0 deterministic demo
SB05,1,Pessimistic,2080,4.99,2.75,S,make_demo_data.py v2.0 deterministic demo
SY01,1,Optimistic,2030,2.16,2.18,S,make_demo_data.py v2.0 deterministic demo
SY01,1,Optimistic,2050,2.11,2.13,S,make_demo_data.py v2.0 deterministic demo
SY01,1,Optimistic,2080,2.06,2.08,S,make_demo_data.py v2.0 deterministic demo
SY01,1,BAU,2030,2.47,2.38,S,make_demo_data.py v2.0 deterministic demo
SY01,1,BAU,2050,2.64,2.48,S,make_demo_data.py v2.0 deterministic demo
SY01,1,BAU,2080,2.81,2.58,S,make_demo_data.py v2.0 deterministic demo
SY01,1,Pessimistic,2030,2.8,2.58,S,make_demo_data.py v2.0 deterministic demo
SY01,1,Pessimistic,2050,3.01,2.73,S,make_demo_data.py v2.0 deterministic demo
SY01,1,Pessimistic,2080,3.29,2.88,S,make_demo_data.py v2.0 deterministic demo
SY02,1,Optimistic,2030,2.89,2.75,S,make_demo_data.py v2.0 deterministic demo
SY02,1,Optimistic,2050,2.84,2.7,S,make_demo_data.py v2.0 deterministic demo
SY02,1,Optimistic,2080,2.79,2.65,S,make_demo_data.py v2.0 deterministic demo
SY02,1,BAU,2030,3.2,2.95,S,make_demo_data.py v2.0 deterministic demo
SY02,1,BAU,2050,3.37,3.05,S,make_demo_data.py v2.0 deterministic demo
SY02,1,BAU,2080,3.54,3.15,S,make_demo_data.py v2.0 deterministic demo
SY02,1,Pessimistic,2030,3.53,3.15,S,make_demo_data.py v2.0 deterministic demo
SY02,1,Pessimistic,2050,3.74,3.3,S,make_demo_data.py v2.0 deterministic demo
SY02,1,Pessimistic,2080,4.02,3.45,S,make_demo_data.py v2.0 deterministic demo
SY03,1,Optimistic,2030,2.32,2.31,S,make_demo_data.py v2.0 deterministic demo
SY03,1,Optimistic,2050,2.27,2.26,S,make_demo_data.py v2.0 deterministic demo
SY03,1,Optimistic,2080,2.22,2.21,S,make_demo_data.py v2.0 deterministic demo
SY03,1,BAU,2030,2.63,2.51,S,make_demo_data.py v2.0 deterministic demo
SY03,1,BAU,2050,2.8,2.61,S,make_demo_data.py v2.0 deterministic demo
SY03,1,BAU,2080,2.97,2.71,S,make_demo_data.py v2.0 deterministic demo
SY03,1,Pessimistic,2030,2.96,2.71,S,make_demo_data.py v2.0 deterministic demo
SY03,1,Pessimistic,2050,3.17,2.86,S,make_demo_data.py v2.0 deterministic demo
SY03,1,Pessimistic,2080,3.45,3.01,S,make_demo_data.py v2.0 deterministic demo
SY04,1,Optimistic,2030,1.88,2.07,S,make_demo_data.py v2.0 deterministic demo
SY04,1,Optimistic,2050,1.83,2.02,S,make_demo_data.py v2.0 deterministic demo
SY04,1,Optimistic,2080,1.78,1.97,S,make_demo_data.py v2.0 deterministic demo
SY04,1,BAU,2030,2.19,2.27,S,make_demo_data.py v2.0 deterministic demo
SY04,1,BAU,2050,2.36,2.37,S,make_demo_data.py v2.0 deterministic demo
SY04,1,BAU,2080,2.53,2.47,S,make_demo_data.py v2.0 deterministic demo
SY04,1,Pessimistic,2030,2.52,2.47,S,make_demo_data.py v2.0 deterministic demo
SY04,1,Pessimistic,2050,2.73,2.62,S,make_demo_data.py v2.0 deterministic demo
SY04,1,Pessimistic,2080,3.01,2.77,S,make_demo_data.py v2.0 deterministic demo
SY05,1,Optimistic,2030,2.53,2.52,S,make_demo_data.py v2.0 deterministic demo
SY05,1,Optimistic,2050,2.48,2.47,S,make_demo_data.py v2.0 deterministic demo
SY05,1,Optimistic,2080,2.43,2.42,S,make_demo_data.py v2.0 deterministic demo
SY05,1,BAU,2030,2.84,2.72,S,make_demo_data.py v2.0 deterministic demo
SY05,1,BAU,2050,3.01,2.82,S,make_demo_data.py v2.0 deterministic demo
SY05,1,BAU,2080,3.18,2.92,S,make_demo_data.py v2.0 deterministic demo
SY05,1,Pessimistic,2030,3.17,2.92,S,make_demo_data.py v2.0 deterministic demo
SY05,1,Pessimistic,2050,3.38,3.07,S,make_demo_data.py v2.0 deterministic demo
SY05,1,Pessimistic,2080,3.66,3.22,S,make_demo_data.py v2.0 deterministic demo
